10.225.152.165 - - [07/Apr/2016:09:50:30 +0900] "GET /selectedCountry?selectedCountryName=Korea HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:50:30 +0900] "GET /hitTheRoad HTTP/1.1" 200 99993
10.225.152.165 - - [07/Apr/2016:09:50:33 +0900] "GET /tempSelectedPlace?selectedPlaceId=placeIdIs251 HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:50:33 +0900] "GET /hitTheRoad?placeId=251 HTTP/1.1" 200 100989
10.225.152.165 - - [07/Apr/2016:09:50:33 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:50:38 +0900] "GET /detailPlace?placeId=251 HTTP/1.1" 200 14854
10.225.152.165 - - [07/Apr/2016:09:50:38 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:50:46 +0900] "GET /tempSelectedPlace?selectedPlaceId=placeIdIs244 HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:50:46 +0900] "GET /hitTheRoad?placeId=244 HTTP/1.1" 200 101841
10.225.152.165 - - [07/Apr/2016:09:50:46 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:50:46 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:50:53 +0900] "GET /tempSelectedPlace?selectedPlaceId=placeIdIs230 HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:50:53 +0900] "GET /hitTheRoad?placeId=230 HTTP/1.1" 200 102688
10.225.152.165 - - [07/Apr/2016:09:50:53 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:50:53 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:50:53 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:06 +0900] "GET /tempSelectedPlace?selectedPlaceId=placeIdIs236 HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:51:06 +0900] "GET /hitTheRoad?placeId=236 HTTP/1.1" 200 103544
10.225.152.165 - - [07/Apr/2016:09:51:07 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:51:07 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:51:07 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:07 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:51:16 +0900] "GET /tempSelectedPlace?selectedPlaceId=placeIdIs232 HTTP/1.1" 302 -
10.225.152.165 - - [07/Apr/2016:09:51:16 +0900] "GET /hitTheRoad?placeId=232 HTTP/1.1" 200 104404
10.225.152.165 - - [07/Apr/2016:09:51:16 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:51:16 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:51:16 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:16 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:51:16 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:51:17 +0900] "GET /detailPlace?placeId=232 HTTP/1.1" 200 14739
10.225.152.165 - - [07/Apr/2016:09:51:17 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
