127.0.0.1 - - [06/Apr/2016:09:05:39 +0900] "GET / HTTP/1.1" 200 16400
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:00 +0900] "GET / HTTP/1.1" 200 16754
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:00 +0900] "GET /resource/styles.css;jsessionid=0D6D5C18A5BFA56009178BD1B335C917 HTTP/1.1" 200 11230
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:00 +0900] "GET /resource/css/place/jquery-jvectormap-2.0.3.css;jsessionid=0D6D5C18A5BFA56009178BD1B335C917 HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:00 +0900] "GET /resource/js/scripts.js;jsessionid=0D6D5C18A5BFA56009178BD1B335C917 HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:05 +0900] "POST /doLogin;jsessionid=0D6D5C18A5BFA56009178BD1B335C917 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /hitTheRoad HTTP/1.1" 200 29199
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/css/pack/myPack.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/css/common/faq.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/css/pack/sharePack.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/css/place/recommendPlace.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/css/place/hitTheRoad.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/css/place/jquery-jvectormap-2.0.3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:06 +0900] "GET /resource/css/reserve/tripReservation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:09 +0900] "GET /selectedCountry?selectedCountryName=Russia HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:09 +0900] "GET /hitTheRoad HTTP/1.1" 200 29296
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:12 +0900] "GET /selectedCountry?selectedCountryName=Russia HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:26:12 +0900] "GET /hitTheRoad HTTP/1.1" 200 29199
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:27:01 +0900] "GET /selectedCountry?selectedCountryName=Austria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:27:01 +0900] "GET /hitTheRoad HTTP/1.1" 200 29298
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:27:03 +0900] "GET /selectedCountry?selectedCountryName=Austria HTTP/1.1" 302 -
